שם,קטגוריה,תת-קטגוריה,גילאים,אזור,טלפון,אתר,הקשר/ציטוט,מקור,תדירות אזכור
ועדת דותן,זכויות ורווחה,ועדה ממשלתית,כל הגילאים,ממשלתי,,,ועדת דותן שקבעה לפני שנה שנדרש בטווח של חמש שנים לסגור את כל ההוסטלים.,chunk_021:j:23112,1
חוק שירותי רווחה לאנשים עם מוגבלויות (2022),זכויות ורווחה,חוק,כל הגילאים,ארצי,,https://www.nevo.co.il/law_html/Law01/500_855.htm,,web-research: ספר החוקים,1
ייפוי כוח מתמשך לאוטיסטים בוגרים,זכויות ורווחה,חוק,18+,ארצי,055-6838798,https://www.kolzchut.org.il/he/ייפוי_כוח_מתמשך,,web-research: משרד המשפטים,1
מקדם תעסוקה — חוק לרון,זכויות ורווחה,חוק,18+,ארצי,,https://www.btl.gov.il/benefits/Individual_Disability,,web-research: btl.gov.il,1
תומך בהחלטות נתמכות — תקנות 2024,זכויות ורווחה,חוק,18+,ארצי,055-6838798,https://www.gov.il/he/departments/publications/reports/supported_decision_making,,web-research: משרד המשפטים 2024,1
"תקנות קבלת החלטות נתמכת (תשפ""ד-2024)",זכויות ורווחה,חוק,18+,ארצי,055-6838798,https://www.nevo.co.il,,web-research: רשומות 2024,1
תומך החלטות — חלופה לאפוטרופסות,זכויות ורווחה,חוק / רפורמה,18+,ארצי,055-6838798,https://www.gov.il/he/departments/general_custodian,,web-research: משרד המשפטים,1
גילי פארן – תכנון פיננסי,זכויות ורווחה,יועץ פיננסי,כל הגילאים,לא צוין,,,"יש קבוצה של הורים לילדים עם מוגבלויות שמנהל אותה גילי פארן, יועץ פיננסי. מדי פעם הם עושים פגישות זום להורים להסבר והדרכה.","chunk_020:j17977,j17985",1
זכות בקלות,זכויות ורווחה,ייעוץ זכויות,כל הגילאים,ארצי,,https://www.zbekalut.org.il,ממליצה על זכות בקלות להתייעץ איתם לגבי כל מה שמגיע מבחינת זכויות שאולי אתם לא יודעים עליהן,chunk_011 m:40157,1
"עו""ד דיאנה — אלו""ט",זכויות ורווחה,ייעוץ משפטי,בוגרים ומשפחות,ארצי,,,תבקשי באלוט מישהי בשם דיאנה.. היא עורכת דין וכן מקצועית ומקסימה.,m:28718,1
"עו""ד רחל סגל — עמותת קשר",זכויות ורווחה,ייעוץ משפטי,ילדים ומשפחות,ירושלים,,,"עו""ד רחל סגל, מנהלת מרכז סיוע ומיצוי זכויות בעמותת קשר — הבית של המשפחות המיוחדות.",m:29459,1
הקליניקה המשפטית של מכללת אונו,זכויות ורווחה,ייעוץ משפטי חינמי,כל הגילאים,הקריה האקדמית אונו,,,"הקליניקה המשפטית של מכללת אונו נותנת את השירות בחינם להורים כשהמרכז למשפחה של אלו""ט עושה את הקישור",m:6127,1
שולי נחום — רנה קסין / אחראית מלווים בהסעות,זכויות ורווחה,ליווי בהסעות,ילדים,ירושלים,0525451004,,שולי נחום רנה קסאן אחראית על כל המלווים. פעמים רבות היא עוזרת. Shuli@renecassin.org.il,m:18652,1
הורה מלווה הורה — פרויקט ליווי ועדות ביטוח לאומי,זכויות ורווחה,ליווי ועדות,כל הגילאים,ארצי,,https://greenbook.co.il/qs/do/12410/3346,"אחרי התערבות וליווי של הפרויקט – הבעיה נפתרה בתוך שעות... אנחנו כאן – בהתנדבות מלאה, מכל הלב",chunk_023 j:30202,1
"מחלקת רווחה — אגף אוטיזם, ראשון לציון",זכויות ורווחה,לשכות רווחה אזוריות,all,ראשון לציון,03-9547940,https://www.rishonlezion.muni.il/Residents/Social/disabilities/,3 לשכות רווחה בראשון לציון. שירותים פסיכוסוציאליים למשפחות עם בן משפחה על הרצף.,research:center,1
אגף רווחה ושיקום מוגבלויות — עיריית באר שבע,זכויות ורווחה,לשכת רווחה אזורית לאוטיזם,all,באר שבע,08-6431528,https://www.beer-sheva.muni.il/Residents/Welfare/Restoration/Pages/autism.aspx,"מחלקת שיקום אגף הרווחה. עו""ס: צביה הלל (שכ' 4, רמות, 6) וריקי דאודי (יתר). אילן רמון 20.",research:south,1
kolzchut.org.il – כל זכות,זכויות ורווחה,מאגר מידע זכויות / אתר מידע על זכויות,כל הגילאים,ארצי – אתר / ארצי (מקוון),,https://www.kolzchut.org.il/he/נוכחות_מלווה_בטיפול_רפואי,https://www.kolzchut.org.il/he/נוכחות_מלווה_בטיפול_רפואי,chunk_019:j14053,2
כול זכות — אתר מידע על זכויות,זכויות ורווחה,מאגר מידע על זכויות,,ישראל — מקוון,,https://www.kolzchut.org.il,נקודות זיכוי ממס הכנסה בעד ילד או בוגר עם מוגבלות,chunk_017:j:5864,1
יחידה 105 - מטה לאומי להגנה על ילדים ברשת,זכויות ורווחה,מוקד דיווח,קטינים,ארצי,052-1210105,https://www.105.gov.il,"מאז הקמתו ב-6 בפברואר 2018 טופלו במוקד 105 למעלה מ-65,000 אירועי פגיעה בקטינים ברשת",chunk_013:m44983,1
מוקד הכוונה לאנשים עם מוגבלות (מוקד 8745*),זכויות ורווחה,מוקד מידע ארצי,18+,ארצי (ט'-ה' 9-16),,https://mokedamitim.org,מוקד ארצי של מענה אנושי להכוונה ולאיתור מידע בנושא זכויות ושירותים לאנשים עם מוגבלות ובני משפחותיהם. השירות ניתן ללא עלות.,chunk_022:j:27007,1
קו החם של עדי,זכויות ורווחה,מוקד תמיכה ומידע,הורים לכל הגילאים,ארצי,,https://4u.adi-il.org/הקו-החם,"מוקד טלפוני, המופעל על ידי אנשי מקצוע מתחומי הבריאות, החינוך המיוחד ועובדים סוציאליים — המספק להורים לילד מיוחד אוזן קשבת ותמיכה ראשונית",chunk_015:m:52642,1
מחלקת חינוך מיוחד — רמת השרון,זכויות ורווחה,מחלקה לחינוך מיוחד עירוני,3-21,רמת השרון,03-5483723,https://ramat-hasharon.muni.il/מחלקת-פרט-2/,"מחלקת חינוך מיוחד עירונית. מידע על גני תקשורת, שיבוצים וועדות השמה לתלמידים על הרצף.",research:center,1
מחלקה לחינוך מיוחד — עיריית גבעתיים,זכויות ורווחה,מחלקה לטיפול בפרט,3-21,גבעתיים,03-5722277,https://www.givatayim.muni.il/597/,מחלקת חינוך מיוחד וטיפול בפרט. מידע על מסגרות תקשורת ועדת השמה.,research:center,1
אגף הרווחה — תל אביב יפו,זכויות ורווחה,מחלקה לשירותים חברתיים,all,תל אביב,*8966,https://www.tel-aviv.gov.il/Residents/HealthAndSocial/Pages/SocialServices.aspx,"מערך מחלקות לשירותים חברתיים תחת עיריית ת""א, אחראי על מסגרות, סלי תמיכה והכוונה לאנשים על הרצף.",research:center,1
"מחלקת צמי""ד — עיריית ירושלים",זכויות ורווחה,מחלקה עירונית / שירותי רווחה עירוניים,כל הגילאים / ילדים ומשפחות,ירושלים / ירושלים (שכונות שונות),,,"מחלקת צמי""ד בעיירית ירושלים מעוניינת לדעת אילו מענים תרצו שיהיו עבורכם בתחום הפנאי בעיר",chunk_015:m:52394,2
"מחלקת צמיד — מנח""י עיריית ירושלים",זכויות ורווחה,מחלקת חינוך מיוחד עירונית,כל הגילאים,"ירושלים, מתנ""ס פיליפ ליאון",054-5936039,tzmais3@gmail.com,"חוג חדר כושר קבוצתי לנוער צמי""ד... ליאת דה-כהן 054-5936039 רכזת צמי""ד... יוזמה של מחלקת צמיד באגף חברה של מנח״י",m:14037,1
אלות — זכות בקלות,זכויות ורווחה,מידע זכויות,כל הגילאים,ארצי,,https://www.zbekalut.org.il,שווה לבדוק ב'זכות בקלות' של אלוט לגבי זה,chunk_023 j:30021,1
המרכז למיצוי זכויות — לשכת רווחה מערב,זכויות ורווחה,מיצוי זכויות,כל הגילאים,"ירושלים, לשכה מערב",,,בלשכה מערב יש את המרכז למיצוי זכויות שאני חושבת שעובדים גם באוגוסט.,m:18099,1
מרכז מיצוי זכויות – תחנת רווחה שיקום דרום,זכויות ורווחה,מרכז מיצוי זכויות,כל הגילאים,ירושלים – דרום,,,"אני מציעה להפעיל את עו""ס של מרכז מיצוי זכויות בתחנת רווחה שיקום דרום.",chunk_019:j14258,1
תחנת שיקום מערב — מרכז מיצוי זכויות,זכויות ורווחה,מרכז מיצוי זכויות עירוני,כל הגילאים,ירושלים,02-5483481,rightsmarav5@jerusalem.muni.il,בתחנה שלנו יש מרכז מיצוי זכויות ואפשר לפנות בכל שאלה לציבי העובדת הקהילתית של התחנה: 02-5483481... כל ההורים יכולים לפנות לא רק ההורים ששייכים לתחנת מערב,m:5610,1
מרכז סיוע לנפגעות תקיפה מינית — ירושלים,זכויות ורווחה,מרכז סיוע,מבוגרים,ירושלים,,https://www.1202.org.il/local/jerusalem,לפעמים גם יש למרכז סיוע לנפגעות תקיפה מינית קבוצות תמיכה או תמיכה נפשית.,m:18094,1
"עו""ד דיאנה בארון (אלו""ט)",זכויות ורווחה,"עו""ד אלו""ט — חינוך",כל הגילאים,אלוט,,,"עו""ד דיאנה בארון, אחראית תחום חינוך באגף לקידום זכויות, חטיבת קהילה באלו""ט",m:528,1
"עו""ד משה תבו",זכויות ורווחה,"עו""ד זכויות",כל הגילאים,,052-811-9783,,"משה תבו, עו""ד — המתמחה במיצוי זכויות לילדים בעלי צרכים מיוחדים",m:13823,1
"עו""ד עופר בן חיים (תביעת ביטוח סיעודי)",זכויות ורווחה,"עו""ד לביטוח סיעודי",כל הגילאים,,"03-9007520, / 050-292-5200",,"עופר בן חיים עו""ד לתבוע ביטוח סיעודי +972 39007520 / +972 502925200",m:13860,1
עורכת דין ליטל אורלי — קבוצת מיצוי זכויות,זכויות ורווחה,"עו""ד לצרכים מיוחדים",כל הגילאים,,,https://www.facebook.com/groups/190653252290615,שמי ליטל אורלי ואני עורכת דין המתמחה בליווי משפחות לילדים עם צרכים מיוחדים מכל סוג... הקמתי קבוצה שעוסקת בדיוק בזה,m:204,1
"עו""ד דורון בורשטיין",זכויות ורווחה,עורך דין,בוגרים,אפרת,,,"עו""ד דורון בורשטיין תושב אפרת וגם אבא לילד צמי""ד על הספקטרום – הוא בעל מומחיות גבוהה ונסיון רב מאד בכל ענייני הנדלן, הירושות, הקניין, מס הכנסה.",chunk_019:j14440,1
סיגל לב לזרוביץ — עורכת דין,זכויות ורווחה,עורכי דין למשפחות מיוחדות,בוגרים,לא צוין,052-6501924,,"סיגל לורוביץ עו""ד","chunk_023 j:30302, j:30461",1
"עו""ד מיכל ליף",זכויות ורווחה,עורכי דין למשפחות מיוחדות,כל הגילאים,לא צוין,050-622-1814,,עורכת דין מיכל ליף,"chunk_023 j:30464, chunk_024 j:34594",1
"עו""ד איילה מזרחי",זכויות ורווחה,עורכת דין,בוגרים,ירושלים,050-583-2227,,"יש את עו""ד איילה מזרחי... נתנה לקבוצות שלי הרצאה בנושא יפוי כוח מתמשך ונשמעה מקצועית",chunk_015:m:52507,1
"עו""ד רחל בן עזרא",זכויות ורווחה,עורכת דין,בוגרים,לא צוין,,,עוד רחל בן עזרא [מוזכרת כחלופה עם מחירים צנועים],chunk_015:m:52510,1
"סיגל לב לזרוביץ – עו""ד",זכויות ורווחה,עורכת דין / ייעוץ משפטי,כל הגילאים / בוגרים / בוגרים ומשפחות,ארצי / לא צוין / ירושלים,052-6501924,,"בהרצאה אסקור את כל החידושים המשפטיים: צוואות, יפוי כח מתמשך, צווי אפוטרופסות. אפרט על כל הכלים המשפטיים הקיימים להבטיח שהילד שלנו יקבל את הטיפול הטוב ביותר. || הרצאה בכל הקשור בתומך החלטות: מה תפקידו, מי יכול להתמנות, מי יכול למנות. ההרצאה אינה בתשלום.",chunk_011 m:39453,5
"ענת רישין נקש עו""ד",זכויות ורווחה,עורכת דין זכויות סוציאליות,כל הגילאים,ארצי,050-6285560,,"לאחר מעל 22 שנה כעורכת דין של הביטוח הלאומי, החלטתי לצאת לדרך חדשה כעורכת דין עצמאית.",chunk_021:j:22599,1
"עו""ד שירה פינקלשטיין — ביטוח לאומי",זכויות ורווחה,עורכת דין — ביטוח לאומי,,ארצי,050-654-3601,,"קיבלתי המון המלצות על עו""ד שירה פינקילשטיין ביטוח לאומי. הבנתי שהיא לא לוקחת אחוזים כמו שאר עורכי הדין",chunk_017:j:6739,1
כל הבריאות,זכויות ורווחה,פורטל מידע ממשלתי,כל הגילאים,ישראל (אונליין),,https://call.gov.il,"בין אם מדובר בטיפולי שיניים, הריון ולידה, או כל טיפול רפואי אחר - כאן תגלו בדיוק מה מגיע לכם.",chunk_011 m:38710,1
"ער""ן - עזרה ראשונה נפשית",זכויות ורווחה,קו חירום נפשי,כל הגילאים,ארצי,,,"ער""ן – סיוע רגשי מיידי (גם להורים): טלפון 1201 או בצ'אט באתר. מתאים גם להורים ולבני נוער",chunk_013:m46187,1
קצבת ילד נכה — ביטוח לאומי (מעודכן 2026),זכויות ורווחה,קצבה,91 ימים - 18 (בחלק מהמקרים עד 21),ארצי,,https://www.btl.gov.il/benefits/Disabled_Child,,web-research: btl.gov.il,1
קצבת שירותים מיוחדים (נכות כללית 18+),זכויות ורווחה,קצבה,18-67,ארצי,,https://www.btl.gov.il/benefits/Special_Services,,web-research: btl.gov.il,1
נציבות שוויון זכויות לאנשים עם מוגבלות,זכויות ורווחה,רגולטור ממשלתי — משרד המשפטים,כל הגילאים,ירושלים,,Negishut.justice.gov.il,"עו""ד רויטל לן כהן מנהלת תחום שילוב בחינוך, נציבות שוויון זכויות לאנשים עם מוגבלות, משרד המשפטים || נציבות שוויון זכויות לאנשים עם מוגבלות במשרד המשפטים מקיימים שיתוף ציבור כדי לשפר את מתן המענים לילדים ולצעירים.",m:15629,1
רשות רווחה ירושלים – שיקום צפון,זכויות ורווחה,רווחה עירונית,כל הגילאים,"פסגת זאב, ירושלים",026578257 / 025456945 / 026578246,,בצפון זו חדווה שהחליפה את יוליה שיצאה לחופשת לידה. הטלפון: 026578257,chunk_012 m:42479; m:42490; m:42487,1
ביטוח סיעודי קבוצתי — שינויים 2025-2027,זכויות ורווחה,רפורמה,כל הגילאים,ארצי,,https://www.gov.il/he/departments/capital_market_insurance,,web-research: רשות שוק ההון + ביטוח,1
חקירת הונאה בקצבת ילד נכה 2025,זכויות ורווחה,רפורמה,כל הגילאים,ארצי,,https://www.btl.gov.il,,web-research: ביטוח לאומי + משטרת ישראל,1
כנס הוועדה לאוטיזם — מרכז טאוב יוני 2026,זכויות ורווחה,רפורמה,כל הגילאים,ארצי,02-5671818,https://www.taubcenter.org.il,,web-research: מרכז טאוב,1
רפורמת שירותי התפתחות הילד — משרד הבריאות (פברואר 2026),זכויות ורווחה,רפורמה,0-18,ארצי,,https://www.gov.il/he/departments/ministry_of_health,,web-research: gov.il משרד הבריאות,1
לשכת שיקום — דרום,זכויות ורווחה,שיקום,בוגרים,דרום,02-5453915,,לשכת שיקום דרום... הטלפון כמובן לא עונה... גם ניתן להשאיר הודעה למזהב 02-5453930,chunk_024 j:33994,1
מוסד לביטוח לאומי - מחלקת שיקום,זכויות ורווחה,שיקום מקצועי וזכויות,18+,ארצי,,https://www.btl.gov.il/benefits/Vocational_Rehabilitation/Pages/default.aspx,קודם כל תפנו לביטוח לאומי לבקש שיקום מקצועי. אפשר את תוכנית טל כדי לשפר מיומנויות.,chunk_021:j:22456,1
ביטוח לאומי — שיקום מקצועי,זכויות ורווחה,שיקום תעסוקתי,בוגרים,ארצי,,https://www.btl.gov.il/benefits/Vocational_Rehabilitation/Pages/default.aspx,"אם הוא קיבל לפחות 20% נכות רפואית מביטוח לאומי, הוא זכאי לשיקום מקצועי מהם. במסגרת זה יש גם אבחון מקצועי","chunk_023 j:30247, chunk_024 j:34706",1
ביטוח לאומי — אגף שיקום,זכויות ורווחה,שיקום תעסוקתי ממשלתי,18+,ארצי,,https://www.btl.gov.il/benefits/Vocational_Rehabilitation/Pages/default.aspx,"מי שיש לו מעל 20% נכות, זכאי להגיש בקשה לשיקום מקצועי, שם יפגש עם עובד סוציאלי שיקומי שייעץ בבחירת מסלול לימודים ותעסוקה",chunk_018:j:10508,1
יד מכוונת – ביטוח לאומי,זכויות ורווחה,שירות ביטוח לאומי / ייעוץ ביטוח לאומי,כל הגילאים,ארצי,,https://www.btl.gov.il/snifim/Pages/yadMechavenet1.aspx,"במקרים של קשיים מול בטל""א, יש אפשרות לפנות ליד מכוונת לקבלת ייעוץ *2496",chunk_019:j14256,2
"שפ""י - שירות פסיכולוגי-ייעוצי משרד החינוך",זכויות ורווחה,שירות חינוכי,ילדים ונוער,ארצי,,,"מוקד משרד החינוך – שפ""י: ניתן לפנות ליועצת או פסיכולוג/ית בית הספר. במצבים דחופים, יש הפניה מהירה",chunk_013:m46187,1
האגף לסיוע משפטי — משרד המשפטים,זכויות ורווחה,שירות מדינה,כל הגילאים,ארצי (6 מחוזות),1-700-70-60-44,https://www.gov.il/he/departments/legal_aid,,web-research: משרד המשפטים,1
האפוטרופוס הכללי — משרד המשפטים,זכויות ורווחה,שירות מדינה,כל הגילאים,ארצי (6 מחוזות),055-6838798,https://www.gov.il/he/departments/general_custodian,,web-research: משרד המשפטים,1
טיפולים פרא-רפואיים — סל בריאות לאוטיזם,זכויות ורווחה,שירות מדינה,0-18,ארצי,,https://www.kolzchut.org.il/he/טיפולים_פרא-רפואיים_לילד_על_הרצף_האוטיסטי,,web-research: kolzchut + קופות חולים,1
מוקד שירות מידע לאזרח — 1299,זכויות ורווחה,שירות מדינה,כל הגילאים,ארצי,,https://www.gov.il/he/service/hotline,,web-research: gov.il,1
מכון להתפתחות הילד — אבחון אוטיזם בקופות חולים,זכויות ורווחה,שירות מדינה,0-18,ארצי,,https://www.clalit.co.il / https://www.maccabi4u.co.il,,web-research: משרד הבריאות,1
מרכז הכוונה לאנשים עם מוגבלות — 8745,זכויות ורווחה,שירות מדינה,כל הגילאים,ארצי,,https://www.gov.il/he/departments/general/guidance_center_disabilities,,web-research: משרד הרווחה,1
נציבות שוויון זכויות לאנשים עם מוגבלות — מוקד *6763,זכויות ורווחה,שירות מדינה,כל הגילאים,ארצי,,https://www.gov.il/he/departments/disabilities_equality,,web-research: משרד המשפטים,1
"שפ""י — שירות פסיכולוגי ייעוצי (מוקד חירום)",זכויות ורווחה,שירות מדינה,3-21,ארצי,,https://shefi.education.gov.il,,web-research: gov.il משרד החינוך,1
מחלקת שיקום — ביטוח לאומי,זכויות ורווחה,שירות ממשלתי,18+,ארצי,,https://www.btl.gov.il,אפשר לפנות לשיקום בביטוח לאומי. הם יכולים להפנות אותה למכון שבודק מקצוע מתאים... שיקום בביטוח לאומי ישלמו פעם אחת במהלך החיים ללימודים משמעותיים,chunk_015:m:53166,1
מחלקה עירונית לאנשים עם מוגבלות — עיריית ירושלים,זכויות ורווחה,שירותי עירייה / מחלקת רווחה עירונית,כל הגילאים,ירושלים,,https://www.jerusalem.muni.il/he/residents/specialpopulations/rehabilitation-booklet/services-community,"המחלקה העירונית לאנשים עם מוגבלות ובני משפחותיהם, באגף הרווחה, עיריית ירושלים מציעה לכם... תכנית לבני משפחה מטפלים בתחום מוגבלויות",chunk_023 j:30512,2
לשכת שיקום — משרד הרווחה,זכויות ורווחה,שירותי שיקום ממשלתיים,18+,ירושלים וארצי,,,"מצרפת הזמנה לערב עם עו""סיות מלשכת שיקום בנושא זכויות לאחר גיל 18",chunk_017:j:5778,1
אגף האוטיזם — עיריית כפר סבא,זכויות ורווחה,שירותים מקומיים לאנשים על הרצף,all,כפר סבא,09-7649320,https://www.kfar-saba.muni.il/אוטיזם/,"פורטל ייעודי של עיריית כפר סבא לשירותים לאוטיזם — מסגרות, מועדוניות, תעסוקה ופנאי.",research:center,1
ועדה רפואית לעררים — ביטוח לאומי,זכויות ורווחה,תהליך,כל הגילאים,ארצי,,https://www.btl.gov.il/benefits/Appeal_Medical_Board,,web-research: btl.gov.il,1
קליניקה לזכויות אנשים עם מוגבלויות — בר אילן,זכויות ורווחה,תוכנית ממשלתית,כל הגילאים,ארצי,03-5318373,https://law.biu.ac.il/clinics/disability-rights,,web-research: אוניברסיטת בר-אילן,1
מרכז חוסן — ארצי ואזורי,זכויות ורווחה,תמיכה נפשית חירום,כל הגילאים,ארצי,,https://www.gov.il/he/Departments/DynamicCollectors/resilience-centers-list,ניתן לפנות למרכזי החוסן ולמוקדי החירום והתמיכה הרגשית של קופות החולים על מנת לקבל סיוע נפשי,chunk_024 j:34784,1
