שם,קטגוריה,תת-קטגוריה,גילאים,אזור,טלפון,אתר,הקשר/ציטוט,מקור,תדירות אזכור
"גל צוובנר — מנהלת מרכזי אלו""ט למשפחה",ארגונים ועמותות,ניהול מרכז לאוטיזם,כל הגילאים,ארצי,,,"ריאיון של ד""ר גילי תמיר עם גל צוובנר, מנהלת מרכזי אלו""ט למשפחה, על דרכים להתמודדות עם המצב הביטחוני.",m:25645,1
אקים נהריה,ארגונים ועמותות,סניף אקים אזורי,all,נהריה,054-3110704,https://akim.org.il/branches/hahariya/,"סניף אקים נהריה. השרון 56. סנגור, דיור בקהילה, תעסוקה. רכזת: שירי בולחינסקי שבתאי.",research:north-v2,1
אקים נוף הגליל,ארגונים ועמותות,סניף אקים אזורי,all,נוף הגליל,058-6621082,https://akim.org.il/branches/nazareth-illit/,"סניף אקים נוף הגליל הוקם 1994. רכזת: איילת חכמון. פעילות פנאי, סנגור, תעסוקה.",research:north-v2,1
"אקים עפולה, בית שאן והעמקים",ארגונים ועמותות,סניף אקים אזורי,all,עפולה,052-2356269,https://akim.org.il/branches/afula/,"סניף אקים עפולה והעמקים. ~30 ילדים ו-30 בוגרים. יו""ר: ענת רגב. רכזת סנגור: איילת חכמון.",research:north-v2,1
אקים חיפה — מרכז שיקום וחינוך,ארגונים ועמותות,"סניף אקים — דיור, תעסוקה, מועדוניות",all,חיפה,04-8679352,http://www.akim-haifa.org.il/,"סניף אקים חיפה משרת ~250 ילדים ובוגרים עם מוגבלות שכלית/אוטיזם. דיור, מע""ש, מועדוניות. קיבוץ גלויות 34, חיפה. מנהלת: מיכל סגל.",research:north-v2,1
Autistory — עמותת אוטיזם אונליין,ארגונים ועמותות,עמותה,משפחות לילדים על הרצף,ארצי (דיגיטלי),,https://www.autism.org.il/about,"עמותה חדשה שהוקמה ב-2023 ע""י יניר לוין, מטרתה הנגשת מיצוי זכויות להורים. מפעילה צ'אטבוט חינמי בוואטסאפ שעונה על שאלות על זכויות, הטבות ותהליכים 24/7. גרסת AI בפיתוח.",web-research: https://www.autism.org.il/about/,1
"אלו""ט (אלוט)",ארגונים ועמותות,עמותה ארצית לילדים ובוגרים עם אוטיזם / עמותה לאוטיזם / ארגון ישראלי לאוטיזם / עמותת אוטיזם / אגודה ארצית לאוטיזם / ארגון הורים / סנגור / עמותת הורים לאוטיזם,כל הגילאים / ילדים ובוגרים,ארצי — מרכז משפחה בירושלים רחוב הצפירה 30 / ארצי / ירושלים / ארצי (מרכז בתל אביב),02-5635447 / 02-5665294 / 03-6703077 / 03-5115001,https://alut.org.il,"אפשר לפנות לאלו""ט יש להם עורכי דין שעוזרים בחינם במקרים כאלו. עו""ד דיאנה — ממש דו""ח רציני שהם עוזרים להכין וגם מגישים אותו לביטוח לאומי כערעור",m:11179,8
עמותת Communication First,ארגונים ועמותות,עמותה בינלאומית,,"ארה""ב (מוזכרת בהקשר ישראלי)",,,"עמותת Communication First האמריקאית היא עמותה ללא מטרות רווח, שפועלת לקידום זכויותיהם של אנשים אשר משלל סיבות מתקשרים-ללא-דיבור",chunk_017:j:5817,1
עמותת פוטו ישראל,ארגונים ועמותות,עמותה חברתית,כל הגילאים,ארצי,,https://photoisrael.org,עמותת פוטו ישראל אחת העמותות החברתיות הגדולות היום בארץ שמשלבת בין צילום ופרויקטים חברתיים עם מגוון אוכלוסיות,chunk_013:m46068-m46069,1
עמותת אותי — פרויקט אשד,ארגונים ועמותות,עמותה לאוטיזם,ילדים (גן),ארצי,,https://oti.org.il,פרויקט 'אשד' — אוטיזם שפה דיבור — שנועד להעמיק ידע קליני ולחזק עבודה צוותית,chunk_015:m:52925,1
"אלו""ט למשפחה",ארגונים ועמותות,עמותה לאוטיזם / שירות תמיכה למשפחות,ילדים ובוגרים / כל הגילאים,ארצי,03-5115001 / 036709094,https://www.instagram.com/reel/DE4mGCDITP7,"אלו""ט למשפחה שמה את האוטיסטים ובני משפחותיהם במוקד תשומת הלב ומעניקים להם כלים להתמודדות ארוכת טווח.",chunk_011 m:39780,2
עמותת אמנות רצף החיים,ארגונים ועמותות,עמותה לאמנות וטיפול,,מבשרת ציון,,http://retzef.org.il,עמותת 'אמנות רצף החיים' גאה להזמינכם לערב תרבות ואמנות. תתקיים גם מכירת תמונות שציירו אנשים על הרצף לטובת המשך הפעילות,chunk_018:j:11418,1
"אספרגר ישראל / עמותת אפ""י — סניף מרכז",ארגונים ועמותות,עמותה לאנשים עם אספרגר,10+,תל אביב + ארצי,03-5446046,https://asperger.org.il/,"עמותת אפ""י לאנשים על הרצף בתפקוד גבוה. הדרכה, ליווי ותמיכה למשפחות במרכז הארץ.",research:center,1
עמותת אפי-אספרגר,ארגונים ועמותות,עמותה לאספרגר,בוגרים,ארצי,,https://effiecoupleproject.wixsite.com/effie,עמותת אפי-אספרגר מזמינה אתכם לקבוצות פיתוח כישורים לזוגיות! קבוצות פנים אל פנים יפתחו בסוף אוגוסט,chunk_016:j:2018,1
עמותת אותי,ארגונים ועמותות,עמותה לבוגרים אוטיסטים,18+,ארצי,,https://oti.org.il,מערך הבוגרים של עמותת אותי מזמין אתכם להצטרף להרצאה על ההווה והעתיד בשימוש ב-AI.,chunk_022:j:27078,1
עמותת קול הזכויות,ארגונים ועמותות,עמותה לזכויות ילדים עם צרכים מיוחדים,כל הגילאים,,,,הרצאת זום של עמותת קול הזכויות לילדים עם צרכים מיוחדים בנושא הזכויות הסיעודיות... ענבל צוקרון דמרי מנכלית העמותה,m:10189,1
אגודת שלומית — חינוך מיוחד באר שבע ואופקים,ארגונים ועמותות,עמותה לחינוך מיוחד וכיתות תקשורת,3-21,באר שבע + אופקים,ממתין לאימות,https://shlomit.org.il/region/24/,"מפעילה התנדבות בבתי""ס וכיתות תקשורת בבאר שבע ואופקים, וגני חינוך מיוחד.",research:south,1
עמותת קשר,ארגונים ועמותות,עמותה לסיוע למשפחות,הורים,ירושלים,,,"עמותת קשר מעניקה לכם כלים אשר יאפשרו לכם להשתלב מחדש בתעסוקה, באמצעות קורסים מקוונים",chunk_015:m:53342,1
"אלו""ט",ארגונים ועמותות,עמותת אוטיזם לאומית,"כל הגילאים, כולל 18+",ארצי (מרכז ירושלים פעיל),03-5115001,https://alut.org.il,"כבר 50 שנה שאלו""ט מלווה משפחות עם ילד בספקטרום האוטיסטי מרגע האבחון ולאורך כל מעגל החיים. || תפני למרכז למשפחה של אלו""ט, הם יחברו אותך לקליניקה המשפטית של אלו""ט והם יגישו בשמך ערעור כמו שצריך",chunk_021:j:23349,1
עמותת יד לילד המיוחד,ארגונים ועמותות,עמותת זכויות,עד 18,ארצי,,https://www.facebook.com/groups/576159190836244,ענבל צוקרון דמרי — מנהלת תחום זכויות בעמותת 'יד לילד המיוחד'. פתחתי עבורכם קבוצת פייסבוק סגורה בה תוכלו לשאול שאלות הקשורות לזכויות ילדכם.,m:18779,1
אפי — אספרגר ישראל,ארגונים ועמותות,עמותת מתן שירות,18-35,תל אביב,,https://asperger.org.il,"יחידת הצעירים ועמותת אפי- אספרגר ישראל מזמינים אתכן ואתכם לעבוד על נושא הזוגיות בחייכם. הסדנה מיועדת לגילאי 18-35 ומכוונת לא.נשים עם קושי חברתי, חרדה חברתית ואוטיזם",chunk_017:j:5788,1
"עמותת שק""ל",ארגונים ועמותות,עמותת שיקום ושילוב,18+,ארצי (ירושלים),,,"שק""ל היא העמותה הראשונה שהציעה דיור כבר שנים רבות. הם מחזיקים דגמים שונים של דירות.",chunk_022:j:26293,1
"פודקאסט 'על הרצף' — ד""ר רונית ולגרין",ארגונים ועמותות,פודקאסט — מידע להורים,כל הגילאים,אוניברסיטת רייכמן,,,"פודקאסט חדש 'על הרצף' עלה לאפליקציות הפודקאסטים. אני, ד""ר רונית ולגרין ביחד עם ענת גרינבלום, אם לילד מאובחן על רצף האוטיזם ובחסות הרדיו הבינתחומי, באוניברסיטת רייכמן",m:11339,1
פורום משפחות מיוחדות ירושלים,ארגונים ועמותות,פורום הורים,כל הגילאים,ירושלים – יפו 161,,https://did.li/9tGTY,"פורום משפחות מיוחדות ירושלים מזמין את הציבור לאירוע ייחודי וראשון מסוגו בירושלים – פאנל בחירות צמי""ד ירושלים ב-15/2 בשעה 19:30.",chunk_020:j18769,1
"עמותת קהילה (באלו""ט)",ארגונים ועמותות,"פורום הורים בתוך אלו""ט",כל הגילאים,,,,"אני קורא לכם להציג מועמדות להנהלת 'קהילה' באלו""ט. ייצוג של ילדים על רצף האוטיזם, כאלה שאינם מתגוררים בבתים לחיים של אלו""ט",m:15200,1
ALUT (אלות) — קורסים ותוכניות פנאי,ארגונים ועמותות,פנאי וקורסים,כל הגילאים,ארצי,,https://bit.ly/ALUT-CS-Whatsapp,"מזמינים אתכם להירשם להרצאה בנושא אנימה... אם אתם מעוניינים לקבל עדכונים על כל הפעילויות שלנו, מוזמנים לקבוצת הוואטסאפ השקטה שלנו",chunk_023 j:30254,1
אופטיזם / רויטל אלרון כץ,ארגונים ועמותות,פעילה לטובת הורים לילדים על הרצף,כל הגילאים,,054-5529192,https://auptism.org/about,"רויטל- אופטיזם. 054-5529192... רויטל אלרון כץ (""אופטיזם"") התבקשה לראיין אמהות בנושא וסת אצל בנות על הרצף",m:14088,1
מרוצפות — אוטיסטיות כותבות,ארגונים ועמותות,פעילות קהילתית — קול אוטיסטיות / קהילה אוטיסטית,כל הגילאים,ארצי,,https://www.facebook.com/profile.php?id=61555552815067,מרוצפות - אוטיסטיות כותבות. בדף הבית של מרוצפות הן ריכזו שמות של מאבחנים ומאבחנות,chunk_017:j:5817,2
קבוצות תמיכה אמהות - אגף שיקום עיריית ירושלים,ארגונים ועמותות,קבוצות תמיכה,הורים לבנות 12-18,ירושלים,050-211-7530,,"באדיבות אגף השיקום ברווחה של עיריית ירושלים נפתחת עבורינו קבוצה לתמיכה, צמיחה ולמידה מיטיבה. וכל זאת ללא תשלום",chunk_014:m48798,1
קבוצת הורים לאבחון מאוחר,ארגונים ועמותות,קבוצת תמיכה להורים,parent support,,,,הרשמה לקבוצת הורים לילדים בגילאי 17-25 שאובחנו מאוחר (החל מגיל 14),m:6448,1
חוברים (Hovrim) — קבוצות חברתיות לאוטיסטים בוגרים,ארגונים ועמותות,קהילה,נוער + בוגרים,ארצי,,https://hovrim.co.il,"ארגון המפעיל קבוצות חברתיות לנוער ובוגרים על הרצף האוטיסטי בתפקוד גבוה. מטרת הקבוצות: הרחבת מעגלי חברים, שיח על נושאים חברתיים, תרגול תקשורת והעצמה אישית.",web-research: https://hovrim.co.il/,1
Autisteen Israel,ארגונים ועמותות,קהילה מקוונת לנוער אוטיסטי,נוער 9–19,ארצי + ירושלים,,https://www.facebook.com/share/p/1669jcAP8S,"אנחנו Autisteen Israel, קהילה מקוונת של נוער אוטיסטי מכל רחבי הארץ.",chunk_011 m:39013,1
"אס""י — קהילת אנשי הספקטרום האוטיסטי בישראל",ארגונים ועמותות,קהילה עצמית של אוטיסטים,,ארצי,,,"תודה לאוניברסיטת בן-גוריון בנגב, אס""י - פעילי הקהילה האוטיסטית בישראל, מרוצפות — על כנס מקצועי, עשיר, מלמד",chunk_018:j:11465,1
גולשים ברצף — קבוצת הורים,ארגונים ועמותות,קהילת הורים,הורים,ארצי,,https://chat.whatsapp.com/FzlpokzT8ajLPairhLiVwH,קבוצת הורים להתייעצויות בכלל מגיל תיכון וצפונה 'גולשים ברצף',"chunk_023 j:30013, chunk_024 j:33962",1
מנהיגות הורים — קרית אונו,ארגונים ועמותות,קהילת הורים,הורים,קרית אונו,053-7707555,https://heyzine.com/flip-book/104eab2d14.html,בשמחה ובגאווה אנו רוצים להציג בפניכם את חוברת זכויות למשפחה לילדים ובוגרים עם צרכים מיוחדים,chunk_023 j:30700,1
קהילוט,ארגונים ועמותות,קהילת הורים,הורים לכל הגילאים,ארצי,,https://shorturl.at/MrSEl,"מתרגשים להודיע על השקת פרויקט 'קהילוט' - קהילת הורים לילדים.ות ובוגרים.ות על הרצף האוטיסטי, הראשונה מסוגה בישראל.",chunk_021:j:23298,1
קהילוט — קהילת הורים לאוטיסטים,ארגונים ועמותות,קהילת הורים,כל הגילאים,ארצי,,https://shorturl.at/MrSEl,"מאוד מתרגשים להודיע על השקת פרויקט 'קהילוט' - קהילת הורים לילדים ובוגרים על הרצף האוטיסטי, הראשונה מסוגה בישראל",chunk_010:m36260,1
מאמאזון — קבוצת הורים לאוטיזם בתפקוד גבוה,ארגונים ועמותות,קהילת הורים אונליין,הורים,ארצי,,https://www.facebook.com/groups/mamazon,"קבוצת פייסבוק עם 120K+ חברים. הוקמה ע""י אור אלתרמן-ברנע אחרי אבחון בנה. תמיכה הדדית, מענים והמלצות.",research:center,1
קואליציית הורים לילדים עם צרכים מיוחדים,ארגונים ועמותות,קואליציה לזכויות,כל הגילאים,,,,צוות קואליציית הורים לילדים עם צרכים מיוחדים. אנו מציעים לסייע לכם ולהעביר את הפרטים של ילדיכם למשרד החינוך כדי שיוכלו לתקן את המצב,m:646,1
תוכנית PreTech — קרן רשי ושותפים,ארגונים ועמותות,קרן מימון,בוגרים,ארצי,,,"בתמיכת קרן רש""י, גוגל, משרד העבודה, קרן ביחד וקרן קראון",chunk_023 j:30072,1
מועצה דתית מעלה אדומים,ארגונים ועמותות,שירותי דת לקהילה הדתית — תמיכה לילדים מיוחדים,all,מעלה אדומים,02-5354005,https://mdmaad.com/,דרך מדבר יהודה 39. שירותי דת ומיזם 'צמיד' לתמיכה במשפחות עם ילדים בעלי צרכים מיוחדים — כולל אוטיזם — בקהילה הדתית.,research:judea-samaria,1
