שם,קטגוריה,תת-קטגוריה,גילאים,אזור,טלפון,אתר,הקשר/ציטוט,מקור,תדירות אזכור
מוזיאון המדע — ירושלים,קייטנות ופנאי,מוזיאון עם נגישות מיוחדת / אירוע תרבות נגיש / אירוע מותאם / פנאי נגיש לילדים עם מוגבלות,ילדים ומשפחות / ילדים,ירושלים,,https://1d.is/s/36uw2a/9fo7 / http://d9.ai/3mobnl/8q7r / https://bit.ly/4eEywKO,"אנו מזמינים אתכם לאירוע מיוחד, בעלות מסובסדת, עבור ילדות וילדים עם מוגבלויות ובני משפחותיהם. הסיורים וההדרכות יתקיימו בשפה מותאמת על ידי מדריכים מנוסים",chunk_017:j:6722,4
מועדוניות עזר מציון — בני ברק וסביבה,קייטנות ופנאי,מועדונית אחר הצהריים לחינוך מיוחד (חרדי),5-18,בני ברק + ארצי,03-6144444,https://www.ami.org.il/services/activity-clubs-for-children-and-special-youth,"מסגרת חינוכית-טיפולית אחה""צ ללא תשלום. ארוחה חמה, חוגים וטיפולים. התאמה לחברה החרדית.",research:center,1
אורית שכטר — מורה לשחייה,קייטנות ופנאי,מורה לשחייה,,ירושלים,052-872-2070,,"מורה נפלאה וסבלנית לשחיה שגם מתחום החינוך, אורית שכטר",chunk_017:j:7022,1
אוטיזון (AutiZone),קייטנות ופנאי,מנוי פנאי לבוגרים אוטיסטים,18+,אונליין,,https://alutcs.activetrail.biz/AutiZone,"מנויי אוטיזון משלמים פעם אחת בלבד (500 ₪ למנוי שנתי, 300 ₪ למנוי חצי שנתי) ומקבלים גישה ל-12 הרצאות חודשיות בזום.",chunk_021:j:22716,1
מרכז צעירים ירושלים,קייטנות ופנאי,מרכז חברתי לצעירים,צעירים,ירושלים – רחוב שבטי ישראל 22,,https://www.coing.co/JLM_YC_Aktivizem/106625,מיזם 'בילוי שווה בירושלים' (בליווי מרכז צעירים) מזמין אותך... למפגש חווייתי סביב משחקי קופסא משותפים. הנגשה ואווירה עלינו!,chunk_019:j15614,1
היכל פיס לתרבות ולאמנויות – פסגת זאב,קייטנות ופנאי,מרכז תרבות,כל הגילאים,"ירושלים – רחוב עמנואל מורנו 22, פסגת זאב",,,"יש לי זוג כרטיסים להצגה מומלצת מאוד: 'איך יוצאים מכאן' (בנושא התמודדות על הרצף), מחר 19/02/2024 בשעה 11:30 בהיכל פיס לתרבות ולאמנויות, פסגת זאב.",chunk_020:j18945,1
נופשון שכולו טוב שומר שבת,קייטנות ופנאי,נופשון שומר שבת,כל הגילאים,,,,אירגון שכולו טוב מארגן בדרך כלל נופשונים ללא שמירת שבת. הפעם הם עושים נופשון שומר שבת... ממליצה בחום,m:6709,1
יאללה נפגשים / שכולו טוב / סבבה נופשונים,קייטנות ופנאי,נופשונים ופעילויות פנאי / ליווי תעסוקתי,כל הגילאים / בוגרים,ארצי,052-3285065,"daniel@s-tov.org.il, maayang@s-tov.org.il",יאללה נפגשים - נופשוני קיץ למשפחות צעירות... מעיין גל מנהל 'סבבה נופשונים' 052-3285065,m:107,2
תוכנית הקלה — עזר מציון,קייטנות ופנאי,סיוע ושעות הקלה למשפחות,0-21,ארצי + בני ברק כמרכז,03-6144444,https://www.ami.org.il/services/relief-program,"תוכנית מענים והקלה לילדים מיוחדים, כולל אוטיזם, במתכונת חרדית. שעות הקלה למשפחות.",research:center,1
המרכז ההידרותרפי בית איזי שפירא,קייטנות ופנאי,ספורט וטיפול במים,all,רעננה,09-7701222,https://beitissie.org.il/,מרכז הידרותרפי וספורט מותאם לאנשים על הרצף ועם מוגבלויות.,research:center,1
Special Olympics Israel — עמותה למשחקים מיוחדים,קייטנות ופנאי,ספורט ופנאי,כל הגילאים,ארצי,,https://specialolympicsisrael.org,"עמותה לספורט מותאם לאנשים עם מש""ה, אוטיזם ותסמונת דאון. נוסדה ב-1987, מונה כ-4,000 ספורטאים. מפעילה תכנית 'Unified' — ספורט משותף לאתלטים עם ובלי מוגבלות.",web-research: https://specialolympicsisrael.org/,1
ספריית פיג'מה,קייטנות ופנאי,ספרייה וחינוך,ילדים,ארצי,,https://bit.ly/4tZ2Fw2,"ספריית פיג'מה, אתכם גם במרחב המוגן",chunk_015:m:53604,1
מועדון בוגרים על הרצף — עיריית אשדוד,קייטנות ופנאי,פנאי קהילתי,21+,אשדוד,,https://www.ashdod.muni.il,מסגרת פנאי עירונית בעיריית אשדוד לבוגרים על הרצף האוטיסטי מעל גיל 21. נותנת מענה לאוכלוסייה שנדרש לה מסגרת פנאי בערב/בחופשות.,web-research: https://www.ashdod.muni.il/,1
עמותת לוטם — טבע נגיש לכולם,קייטנות ופנאי,פנאי קהילתי,כל הגילאים,ארצי — חווה בצפון הארץ,,https://www.lotem.net,עמותה פועלת 30+ שנים להנגשת טבע לאוכלוסיות עם מוגבלויות כולל אוטיזם. מפעילה חווה אקולוגית חינוכית וטיולים מותאמים. מהארגונים המובילים בישראל להנגשת טבע.,web-research: https://www.lotem.net/,1
נינג'ה אקטיב,קייטנות ופנאי,פעילות גופנית,לא צוין,ירושלים,,https://forms.gle/7mboJyVoAgEmtYGp9,"נכון לעכשיו, ההרשמה לפעילות עם נינג'ה אקטיב חלשה מאוד. במידה ואתם רוצים להצטרף לפעילות אנא הקפידו להירשם עד עוד היום.",chunk_019:j14891,1
מוזיאון ישראל - שעות שקטות,קייטנות ופנאי,פעילות מותאמת לאנשים עם צרכים מיוחדים,כל הגילאים,ירושלים,,https://did.li/NdSCN,"מוזיאון ישראל, ירושלים מזמין משפחות לילדים עם צרכים מיוחדים לביקור בשעות מיוחדות, כשהמוזיאון סגור לקהל הרחב.",chunk_021:j:22906,1
פרויקט תחפושות מונגשות — WIX,קייטנות ופנאי,פעילות עונתית,ילדים,ארצי,,https://shorturl.at/426y0,פרויקט התחפושות המונגשות 2026! כסא הגלגלים או ההליכון הם לא רק כלי עזר — הם הופכים לחלק בלתי נפרד מהתחפושת,chunk_015:m:52323,1
מגדל דוד מוזיאון ירושלים — שעות שקטות,קייטנות ופנאי,פעילות תרבות מונגשת,ילדים ומשפחות,ירושלים,,https://www.tod.org.il,זמן שקט — המוזיאון נפתח בשעות מיוחדות בו הוא סגור לקהל הרחב. מחיר: 15 ₪ למשתתף.,m:29870,1
CBH.org.il – קהילה חברתית לדתיים/מסורתיים,קייטנות ופנאי,קבוצה חברתית,18-30,ירושלים (תלפיות) ומודיעין (ליד הרכבת),,https://cbh.org.il,"קבלה רק ע""י שיחה טלפונית קצרה ללא הצגת מסמכים. בעיקרון למגזר הדתי והמסורתי. נפגשים פעם בשבועיים... עם מדריכה מקסימה ומקצוענית. 7 עד 8 בערב.",chunk_020:j18554,1
קבוצה חברתית לבנות בתפקוד גבוה 12-15 - סן מרטין ירושלים,קייטנות ופנאי,קבוצה חברתית,12-15,"רחוב סן מרטין 5, ירושלים",,https://docs.google.com/forms/d/e/1FAIpQLScjEP2xpUaqY6BF6DS-EaIm_xVKii6NWgCbb8iT5GV96vdSUA/viewform,"קבוצה חברתית רק לבנות בתפקוד גבוה בגילאי 12-15 בירושלים. ימי רביעי 16:30-17:20. עלות 270 ש""ח לחודש",chunk_014:m49115-m49430,1
קבוצת בוגרים ובוגרות על הרצף — ענת אלפי גולדשטיין,קייטנות ופנאי,קבוצה חברתית,בוגרים (21+),ירושלים,,,אנחנו מספר אמהות מתנדבות שהקמנו קבוצת בוגרים ובוגרות על הרצף כדי להניע מפגשים חברתיים (ללא פן טיפולי) וליצור קבוצות שווים,chunk_023 j:29757,1
בית האמנים ברחובות — קבוצת אמנות לנוער על הרצף,קייטנות ופנאי,קבוצת אמנות לנוער על הרצף,12-18,רחובות,,,"בבית האמנים ברחובות, מתוכננת להתחיל קבוצה ייחודית וקטנה לנערים ונערות בחטיבת הביניים, בתפקוד גבוהה, על הרצף",m:10872,1
"קייטנת אומנויות אלו""ט — קיץ",קייטנות ופנאי,קייטנה ייעודית לילדים על הרצף,6-14,"מרכז + סניפי אלו""ט",03-5718188,https://alut.org.il/,"קייטנת אומנויות של עמותת אלו""ט המיועדת לילדים על הרצף — סביבה מותאמת, צוות מיומן, אומנויות ופעילויות העשרה. רלוונטית לתושבי יו""ש בקרבת ירושלים.",research:judea-samaria,1
"אלו""ט — קייטנת קיץ חיפה",קייטנות ופנאי,קייטנה יעודית לרצף,5-21,חיפה,03-7238313,https://frm.alut.org.il/alut_camp/,"קייטנת קיץ אלו""ט בחיפה — מתקיימת בכתובת המלך דוד 29 (בי""ס עופרים). מימון רווחה לזכאים.",research:north-v2,1
מרכז קהילתי גוש עציון — קייטנות ופעילויות שילוב,קייטנות ופנאי,קייטנות עם שילוב צרכים מיוחדים,3-18,גוש עציון,02-9937999,https://www.matnasetzion.com/,"מתנ""ס גוש עציון מפעיל קייטנות קיץ עם מסלולי שילוב לילדים עם צרכים מיוחדים, כולל אוטיזם בתפקוד גבוה. אימייל: gila@matnasetzion.com.",research:judea-samaria,1
"קייטנות אלו""ט — חופש פסח וקיץ",קייטנות ופנאי,קייטנת חופש מותאמת,5-21,"ארצי כולל ת""א, ספארי רמת גן",03-5718188,https://alut.org.il/services/camps/,"קייטנות 4-5 ימים, עד 3 מחזורים בשנה. כולל קייטנת ספארי ברמת גן, קייטנת בישול וקייטנת גלישה בתל אביב.",research:center,1
"קייטנת אלו""ט — אשדוד",קייטנות ופנאי,קייטנת חופשה לילדים על הרצף,5-21,אשדוד,03-7238313,https://alut.org.il/קייטנת-אשדוד/,"קייטנה בבית ספר גוונים, רחוב הענבים 1, אשדוד. רישום דרך קרן באלו""ט.",research:south,1
"קייטנת פסח אלו""ט — באר שבע",קייטנות ופנאי,קייטנת חופשה לילדים על הרצף,5-21,באר שבע,03-7238313,https://alut.org.il/קייטנת-פסח-באר-שבע/,"קייטנה בכפר האירוסים, לאה רבין 2, באר שבע. רישום דרך קרן (גם וואטסאפ) kerenmi@alut.org.il.",research:south,1
עין יעל — רכיבה טיפולית,קייטנות ופנאי,רכיבה טיפולית,ילדים ומתבגרים,ירושלים,,,האם מישהי מכירה מקום לרכיבה טיפולית בנוסף לעין יעל.,m:30145,1
שותף — Shutaf,קייטנות ופנאי,תוכנית שילוב,נוער ובוגרים,ירושלים,,https://shutafinclusionprograms.org/shutaf-about/?lang=he,שלי נמצא בשותף. זה מעורב 75 אחוז מאובחנים ו-25 לא. כבר שנה שלישית מאוד מרוצים ויש גם קייטנה 3 שבועות באוגוסט,chunk_016:j:2703,1
תיאטרון נורית קציר,קייטנות ופנאי,תיאטרון וביטוי,בוגרים,ירושלים,,,"הקבוצה נפלאה! התיאטרון נהדר מומלץ בחום, בני אסף רק מחכה לחזור לפעילות",chunk_024 j:31159,1
כנפיים של קרמבו,קייטנות ופנאי,תנועת נוער,נוער,"ירושלים (בקעה, סניפים נוספים)",,,"יש פעילות של כנפיים של קרמבו באחד הסניפים בימי שני. הבת שלי נמצאת בסניף שהפעולה בו היא ברביעי, נראה לי הסניף בבקעה",chunk_015:m:53016,1
